,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
245,Texas,1902,2018,117,1209,857,360,32,.699,55,29,24,2,.537,11.83,4.08,46,30,record adjusted to 858-360-31 by NCAA
246,Texas A&M,1903,2018,116,1206,719,468,44,.602,40,18,22,0,.462,7.85,3.25,26,18,
247,Texas Christian,1903,2018,113,1192,630,527,50,.543,34,17,16,1,.500,2.70,1.71,20,17,record adjusted to 630-526-50 by NCAA
248,Texas Southern,1977,1977,1,11,6,4,1,.591,0,0,0,0,,-5.98,-9.98,0,0,
249,Texas State,2012,2018,7,84,27,57,0,.321,0,0,0,0,,-13.13,-6.33,0,0,
250,Texas Tech,1932,2018,87,961,536,424,24,.557,38,14,23,1,.392,4.03,1.92,11,11,
251,Texas-Arlington,1971,1981,11,120,49,71,0,.408,0,0,0,0,,-9.71,-6.19,0,1,
252,Toledo,1962,2018,57,649,383,263,8,.592,18,10,8,0,.588,-4.47,-7.34,4,11,record adjusted to 385-261-8 by NCAA
253,Trinity (CT),1887,1901,15,126,50,62,14,.452,0,0,0,0,,-4.52,-2.66,0,0,
254,Troy,2001,2018,18,221,121,100,0,.548,8,5,3,0,.571,-4.03,-5.35,0,6,
255,Tufts,1877,1905,17,178,70,103,5,.407,0,0,0,0,,-6.22,-2.65,0,0,
256,Tulane,1902,2018,114,1154,502,624,35,.447,12,5,7,0,.417,0.26,1.88,7,4,record adjusted to 503-623-35 by NCAA
257,Tulsa,1917,2018,87,942,485,449,18,.519,21,10,11,0,.476,-1.48,-2.34,8,27,
258,UAB,1996,2018,21,248,105,143,0,.423,3,1,2,0,.500,-7.15,-4.25,0,0,
259,UCF,1996,2018,23,282,158,124,0,.560,10,4,6,0,.333,-1.13,-3.90,3,5,
260,UCLA,1928,2018,91,992,583,384,31,.600,36,16,19,1,.471,9.30,5.83,32,16,record adjusted to 576-391-31 by NCAA
261,Union (NY),1894,1902,3,18,3,15,0,.167,0,0,0,0,,-10.45,3.85,0,0,
262,USC,1922,2018,97,1090,755,305,40,.705,54,35,19,0,.660,14.16,6.42,49,38,record adjusted to 741-305-40 by NCAA
263,Utah,1905,2018,112,1110,646,441,30,.592,22,17,5,0,.762,2.08,-1.94,8,24,
264,Utah State,1912,2018,104,1044,507,514,28,.497,12,5,7,0,.455,-4.81,-4.92,2,12,record adjusted to 509-512-28 by NCAA
265,UTEP,1935,2018,81,878,325,543,18,.377,14,5,9,0,.357,-9.25,-4.97,0,2,
266,UTSA,2012,2018,7,84,37,47,0,.440,1,0,1,0,.000,-8.50,-5.79,0,0,
267,Vanderbilt,1902,2018,115,1181,544,597,43,.478,9,4,4,1,.500,3.84,3.50,3,0,record adjusted to 545-596-43 by NCAA
268,Vermont,1901,1905,5,48,21,22,5,.490,0,0,0,0,,-3.55,-1.61,0,0,
269,Villanova,1905,1980,59,542,270,260,17,.509,5,2,2,1,.500,-2.26,-3.09,3,0,
270,Virginia,1890,2018,115,1180,576,579,37,.499,20,8,12,0,.421,1.15,0.54,9,2,
271,Virginia Military Institute,1904,1981,70,684,306,344,34,.472,0,0,0,0,,-5.32,-4.07,1,7,
272,Virginia Tech,1902,2018,115,1194,708,456,44,.604,32,13,19,0,.419,3.23,-1.03,20,8,record adjusted to 709-455-44 by NCAA
273,Wabash,1904,1905,2,17,8,9,0,.471,0,0,0,0,,3.10,0.32,0,0,
274,Wake Forest,1908,2018,111,1128,447,655,31,.408,13,9,4,0,.667,-2.64,0.82,4,2,
275,Washburn,1905,1940,7,68,29,38,1,.434,0,0,0,0,,-11.77,-8.80,0,0,
276,Washington,1916,2018,102,1055,629,421,32,.596,37,17,19,1,.486,8.15,4.45,24,18,record adjusted to 632-418-32 by NCAA
277,Washington & Jefferson,1905,1934,30,287,196,71,21,.717,1,0,0,1,.500,4.76,-2.83,0,0,
278,Washington & Lee,1907,1953,44,389,191,174,25,.522,1,0,1,0,.000,-0.76,-1.91,1,2,
279,Washington (MO),1902,1942,40,331,147,165,19,.473,0,0,0,0,,-5.21,-4.30,0,3,
280,Washington State,1917,2018,99,1029,473,520,38,.477,14,7,7,0,.538,2.59,3.35,11,4,record adjusted to 475-518-38 by NCAA
281,Wesleyan (CT),1882,1905,24,217,92,118,7,.440,0,0,0,0,,0.37,3.72,0,0,
282,West Texas A&M,1941,1985,44,443,212,225,9,.485,4,4,0,0,1.000,-8.65,-8.69,0,4,
283,West Virginia,1909,2018,106,1132,662,438,41,.598,37,15,22,0,.417,4.03,0.37,19,15,
284,West Virginia Wesleyan,1913,1916,4,33,16,16,1,.500,0,0,0,0,,-1.55,-1.37,0,0,
285,Western Carolina,1977,1981,5,55,25,28,2,.473,0,0,0,0,,-8.00,-8.33,0,0,
286,Western Kentucky,2007,2018,12,151,73,78,0,.483,5,3,2,0,.750,-5.66,-5.66,1,2,
287,Western Michigan,1962,2018,57,636,330,300,7,.524,8,1,7,0,.125,-6.78,-7.60,1,3,record adjusted to 331-299-7 by NCAA
288,Western State,1924,1937,14,95,19,76,0,.200,0,0,0,0,,-20.15,-8.96,0,0,
289,Whitman,1923,1924,2,12,2,10,0,.167,0,0,0,0,,-13.95,1.72,0,0,
290,Wichita State,1945,1986,42,430,167,254,12,.400,3,0,3,0,.000,-10.37,-6.40,0,5,record adjusted to 168-253-12 by NCAA
291,William & Mary,1922,1983,55,557,260,279,20,.483,3,1,2,0,.333,-4.63,-4.51,3,4,
292,Williams,1886,1906,21,211,107,90,14,.540,0,0,0,0,,1.15,0.03,0,0,
293,Wisconsin,1892,2018,127,1237,700,490,52,.585,30,16,14,0,.517,8.17,4.75,25,14,record adjusted to 701-489-52 by NCAA
294,Wofford,1914,1936,15,128,36,88,4,.297,0,0,0,0,,-13.04,-5.23,0,0,
295,WPI,1888,1893,2,11,3,7,1,.318,0,0,0,0,,-12.11,-1.48,0,0,
296,Wyoming,1905,2018,107,1087,507,560,26,.476,15,7,8,0,.429,-4.62,-3.16,4,14,record adjusted to 508-559-26 by NCAA
297,Xavier,1935,1973,16,160,70,86,4,.450,0,0,0,0,,-11.60,-8.18,0,0,
298,Yale,1872,1981,108,973,718,203,52,.765,0,0,0,0,,7.85,-1.11,4,11,
