,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
57,Connecticut,1979,2018,20,241,101,138,2,.423,6,3,3,0,.500,-5.45,-2.59,0,2,
58,Cornell,1888,1981,93,837,488,317,32,.602,0,0,0,0,,2.17,-2.21,5,1,
59,Cornell College,1903,1903,1,9,1,8,0,.111,0,0,0,0,,-14.48,-2.14,0,0,
60,Creighton,1927,1942,16,139,61,70,8,.468,0,0,0,0,,-6.26,-5.08,0,1,
61,Cumberland,1903,1905,2,13,7,5,1,.577,0,0,0,0,,5.07,-0.79,0,0,
62,Dartmouth,1881,1981,93,795,502,258,35,.653,0,0,0,0,,3.47,-2.84,5,12,
63,Davidson,1902,1973,66,600,248,312,40,.447,1,0,1,0,.000,-7.33,-5.96,0,1,
64,Dayton,1956,1976,21,216,78,130,8,.380,0,0,0,0,,-13.09,-8.45,0,0,
65,Del Monte Pre-Flight,1943,1943,1,8,7,1,0,.875,0,0,0,0,,12.87,-6.25,1,0,
66,Denver,1902,1960,59,518,259,228,33,.530,2,0,2,0,.000,-4.12,-4.91,0,6,
67,Detroit Mercy,1927,1964,36,338,196,132,10,.595,0,0,0,0,,0.21,-4.24,0,3,
68,Dickinson,1889,1910,18,173,84,79,10,.514,0,0,0,0,,-3.35,-3.71,0,0,
69,Drake,1900,1985,73,663,316,326,24,.492,3,2,1,0,.667,-5.64,-5.74,0,7,
70,Drury,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-13.17,-3.97,0,0,
71,Duke,1922,2018,97,1025,490,514,28,.488,14,6,8,0,.385,2.84,2.82,17,17,
72,Duquesne,1933,1950,14,131,80,49,3,.617,1,1,0,0,1.000,1.04,-2.38,3,0,
73,East Carolina,1965,2018,54,611,320,296,3,.519,16,7,9,0,.438,-2.61,-2.81,2,6,record adjusted to 321-295-3 by NCAA
74,East Tennessee State,1979,1981,3,33,15,18,0,.455,0,0,0,0,,-9.46,-8.43,0,0,
75,Eastern Michigan,1975,2018,44,498,153,338,7,.314,3,1,2,0,.333,-15.04,-7.70,0,1,
76,Erskine,1919,1936,5,39,12,27,0,.308,0,0,0,0,,-13.04,-5.98,0,0,
77,Florida,1904,2018,107,1121,697,414,37,.623,44,23,21,0,.523,8.56,4.22,31,9,
78,Florida A&M,2004,2004,1,11,3,8,0,.273,0,0,0,0,,-21.65,-12.38,0,0,
79,Florida Atlantic,2004,2018,15,181,75,108,0,.410,3,3,0,0,1.000,-8.95,-4.89,0,2,
80,Florida International,2004,2018,15,181,66,115,0,.365,4,2,2,0,.667,-11.19,-6.21,0,1,
81,Florida State,1954,2018,65,743,519,236,16,.684,46,28,16,2,.622,11.32,4.03,33,15,record adjusted to 508-235-16 by NCAA
82,Fordham,1909,1954,25,211,126,70,17,.631,2,1,1,0,.500,3.60,-1.08,6,0,
83,Fort Benning,1922,1922,1,10,5,5,0,.500,0,0,0,0,,-6.13,-4.03,0,0,
84,Fort Riley,1943,1943,1,9,6,2,1,.722,0,0,0,0,,10.37,1.81,0,0,
85,Fort Warren,1944,1944,1,10,5,4,1,.550,0,0,0,0,,-4.13,-3.83,0,0,
86,Franklin & Marshall,1889,1904,7,62,24,31,7,.444,0,0,0,0,,-6.68,-3.65,0,0,
87,Fresno State,1969,2018,50,602,350,251,4,.582,23,11,12,0,.455,-1.77,-5.29,2,11,record adjusted to 351-250-4 by NCAA
88,Furman,1902,1981,61,605,297,280,28,.514,0,0,0,0,,-6.16,-6.16,0,3,
89,George Washington,1908,1966,33,298,138,147,14,.485,1,1,0,0,1.000,-4.59,-4.24,1,0,
90,Georgetown,1902,1950,36,311,184,110,19,.618,2,0,2,0,.000,2.75,-2.44,1,0,
91,Georgia,1902,2018,115,1207,793,400,50,.658,55,31,21,3,.594,10.08,4.71,36,13,
92,Georgia Pre-Flight,1942,1943,2,15,12,2,1,.833,0,0,0,0,,11.14,2.27,0,0,
93,Georgia Southern,2014,2018,5,62,35,27,0,.565,2,2,0,0,1.000,-2.05,-5.33,0,1,
94,Georgia State,2013,2018,6,73,19,54,0,.260,2,1,1,0,.000,-13.78,-5.21,0,0,
95,Georgia Tech,1902,2018,117,1224,729,481,40,.599,45,25,20,0,.556,8.72,4.56,25,8,record adjusted to 728-481-40 by NCAA
96,Gonzaga,1922,1941,16,140,67,63,11,.514,1,0,1,0,.000,-2.55,-4.15,0,0,
97,Grambling State,1977,1977,1,11,10,1,0,.909,0,0,0,0,,6.73,-10.00,0,1,
98,Great Lakes Navy,1918,1945,5,54,39,11,5,.755,1,1,0,0,1.000,16.37,6.95,2,0,
99,Grinnell,1899,1936,26,218,90,110,18,.454,0,0,0,0,,-6.97,-4.74,0,0,
100,Hamilton,1907,1907,1,5,1,4,0,.200,0,0,0,0,,-10.59,3.81,0,0,
101,Hampden-Sydney,1922,1940,5,44,14,29,1,.330,0,0,0,0,,-12.35,-6.01,0,0,
102,Hardin-Simmons,1939,1962,21,212,113,96,9,.539,6,4,2,0,.667,-5.41,-6.96,1,3,
103,Harvard,1875,1981,103,931,631,259,42,.700,1,1,0,0,1.000,4.20,-2.12,0,5,
104,Haskell,1902,1916,12,110,57,49,4,.536,0,0,0,0,,-1.95,-2.36,0,0,
105,Haverford,1891,1891,1,6,0,6,0,.000,0,0,0,0,,-23.89,-1.73,0,0,
106,Hawaii,1971,2018,46,560,282,275,6,.506,12,6,6,0,.500,-3.56,-3.29,2,4,
107,Holy Cross,1899,1981,53,523,264,233,27,.530,1,0,1,0,.000,-3.00,-4.37,5,0,
108,Houston,1949,2018,70,777,429,346,15,.553,27,11,15,1,.442,3.22,1.13,14,11,record adjusted to 429-346-14 by NCAA
109,Idaho,1917,2017,75,738,261,461,16,.364,3,3,0,0,1.000,-8.52,-3.61,0,1,
110,Idaho State,1944,1944,1,9,4,5,0,.444,0,0,0,0,,-11.65,-7.09,0,0,
111,Illinois,1892,2018,127,1227,596,592,49,.502,18,8,10,0,.444,6.07,5.27,13,15,
112,Illinois State,1975,1985,11,119,41,73,5,.366,0,0,0,0,,-15.36,-11.09,0,0,
113,Indiana,1899,2018,120,1152,459,656,38,.415,11,3,8,0,.273,1.96,4.55,5,2,record adjusted to 460-655-38 by NCAA
114,Indiana State,1975,1985,11,120,60,59,1,.504,0,0,0,0,,-10.06,-9.71,0,0,
115,Iowa,1899,2018,120,1174,619,530,34,.538,32,16,15,1,.500,6.66,5.17,22,11,record adjusted to 620-529-34 by NCAA
116,Iowa Pre-Flight,1942,1944,3,31,26,5,0,.839,0,0,0,0,,18.05,5.72,2,0,
117,Iowa State,1895,2018,121,1194,511,642,45,.445,14,4,10,0,.231,-0.06,1.31,2,2,record adjusted to 512-641-45 by NCAA
118,Jackson State,1977,1977,1,11,8,3,0,.727,0,0,0,0,,-1.31,-10.40,0,0,
119,Jacksonville Naval Air Station,1942,1942,1,12,9,3,0,.750,0,0,0,0,,6.46,-3.13,0,0,
120,Kansas,1901,2018,118,1191,527,617,54,.462,12,6,6,0,.500,1.06,2.37,7,5,
121,Kansas State,1912,2018,107,1096,471,600,35,.442,21,9,12,0,.400,-0.49,1.88,13,3,record adjusted to 472-600-34 by NCAA
122,Kent State,1962,2018,57,634,203,425,5,.325,2,0,2,0,.000,-12.95,-6.91,0,1,
123,Kentucky,1915,2018,103,1069,491,552,36,.472,18,9,9,0,.529,3.76,4.01,8,2,record adjusted to 492-551-36 by NCAA
124,Knox,1899,1905,5,52,27,23,2,.538,0,0,0,0,,-1.90,-3.67,0,0,
125,Lafayette,1882,1946,47,440,256,160,24,.609,0,0,0,0,,1.01,-2.59,0,0,
126,Lake Forest,1893,1899,5,47,17,24,6,.426,0,0,0,0,,-7.97,-3.29,0,0,
127,Lamar,1973,1981,9,97,33,60,4,.361,0,0,0,0,,-12.77,-7.68,0,0,
128,Lawrence,1905,1905,1,10,7,3,0,.700,0,0,0,0,,3.09,-1.91,0,0,
129,Lehigh,1884,1965,43,412,195,197,20,.498,0,0,0,0,,-3.05,-2.51,0,0,
130,Liberty,2018,2018,1,12,6,6,0,.500,0,0,0,0,,-9.12,-6.62,0,0,
131,Lombard,1903,1903,1,8,5,3,0,.625,0,0,0,0,,-2.35,-2.72,0,0,
132,Long Beach State,1969,1991,23,256,129,126,2,.506,1,0,0,1,.500,-7.67,-7.16,0,3,record adjusted to 130-125-2 by NCAA
133,Louisiana,1973,2018,46,527,226,296,5,.434,6,4,2,0,.667,-9.55,-6.12,0,5,record adjusted to 227-295-5 by NCAA
134,Louisiana Tech,1975,2018,38,443,229,211,7,.520,11,7,3,1,.650,-3.90,-4.66,0,4,record adjusted to 230-210-7 by NCAA
135,Louisiana-Monroe,1975,2018,32,370,134,234,2,.365,1,0,1,0,.000,-11.55,-5.78,0,1,
136,Louisville,1962,2018,57,647,349,298,7,.539,21,9,11,1,.475,-0.98,-2.07,11,8,record adjusted to 351-296-7 by NCAA
137,Loyola (LA),1934,1936,3,28,10,17,1,.375,0,0,0,0,,-6.61,-3.13,0,0,
138,Loyola Marymount,1933,1951,13,127,66,57,4,.535,0,0,0,0,,-2.09,-4.02,0,0,
139,LSU,1902,2018,114,1185,767,402,47,.650,50,26,23,1,.541,9.82,4.41,40,11,record adjusted to 769-400-47 by NCAA
140,Lubbock Field,1944,1944,1,9,5,4,0,.556,0,0,0,0,,-1.45,-3.01,0,0,
141,Maine,1904,1905,2,16,8,7,1,.531,0,0,0,0,,-1.90,-2.21,0,0,
142,Manhattan,1936,1942,7,63,30,31,2,.492,0,0,0,0,,-0.84,0.07,0,0,
143,March Field,1943,1944,2,21,16,3,2,.810,0,0,0,0,,5.33,-5.69,2,0,
144,Mare Island Marines,1917,1918,2,17,18,1,0,.947,2,1,1,0,.500,13.72,-5.57,0,0,
145,Marquette,1927,1960,34,305,131,160,15,.453,1,0,1,0,.000,-0.76,0.34,1,0,
146,Marshall,1962,2018,42,483,224,259,3,.464,14,12,2,0,.846,-8.78,-6.27,3,6,
147,Maryland,1917,2018,102,1076,557,506,30,.523,27,11,14,2,.444,2.44,1.72,18,11,
148,Maryville (TN),1906,1907,2,13,3,8,2,.308,0,0,0,0,,-9.89,0.71,0,0,
149,Massachusetts,1882,2018,21,200,65,129,6,.340,0,0,0,0,,-9.14,-3.85,0,0,
150,McNeese State,1975,1981,7,79,57,21,2,.725,3,1,2,0,.333,-1.17,-7.87,0,3,
151,Memphis,1960,2018,59,660,314,338,8,.482,11,4,7,0,.400,-1.28,-1.61,2,4,record adjusted to 315-337-8 by NCAA
152,Mercer,1909,1936,15,138,56,73,9,.438,0,0,0,0,,-3.92,-2.03,0,0,
153,Merchant Marine,1945,1947,3,30,11,19,0,.367,0,0,0,0,,-13.91,-8.35,0,0,
154,Miami (FL),1936,2018,82,895,581,325,12,.639,39,19,20,0,.500,8.98,3.69,32,9,
155,Miami (OH),1962,2018,57,641,350,278,15,.556,9,5,4,0,.556,-4.03,-6.28,4,9,record adjusted to 351-277-15 by NCAA
156,Michigan,1881,2018,129,1285,927,334,35,.729,47,21,26,0,.457,13.74,5.04,59,42,
157,Michigan State,1918,2018,94,982,578,377,30,.602,28,12,16,0,.407,9.26,4.81,27,9,record adjusted to 573-382-30 by NCAA
158,Middle Tennessee State,1999,2018,20,244,121,123,0,.496,8,2,6,0,.143,-6.48,-6.05,0,2,
159,Millsaps,1924,1924,1,9,3,5,1,.389,0,0,0,0,,-10.12,-7.78,0,0,
160,Minnesota,1892,2018,127,1229,679,513,42,.567,20,8,12,0,.400,8.25,4.94,14,18,
161,Mississippi College,1911,1924,10,81,38,37,6,.506,0,0,0,0,,-3.35,-2.44,0,0,
162,Mississippi State,1902,2018,114,1146,572,548,37,.510,22,13,9,0,.571,3.36,2.93,14,1,record adjusted to 555-566-36 by NCAA
163,Mississippi Valley State,1977,1977,1,10,5,5,0,.500,0,0,0,0,,-11.39,-10.79,0,0,
164,Missouri,1901,2018,117,1189,629,531,50,.540,33,15,18,0,.469,4.80,3.16,19,12,record adjusted to 631-529-50 by NCAA
165,MIT,1882,1899,12,77,27,48,2,.364,0,0,0,0,,-5.20,0.64,0,0,
166,Montana,1917,1962,38,332,123,199,10,.386,0,0,0,0,,-8.86,-4.60,0,0,
167,Montana State,1923,1947,17,139,65,66,9,.496,1,0,0,1,.500,-7.34,-6.98,0,2,
