,,,,,Overall,Overall,Overall,Overall,Overall,Bowls,Bowls,Bowls,Bowls,Bowls,SRS,SRS,,,
Rk,School,From,To,Yrs,G,W,L,T,Pct,G,W,L,T,Pct,SRS,SOS,AP,CC,Notes
56,Tennessee State,1977,1977,1,10,8,1,1,.850,0,0,0,0,,3.58,-8.72,0,0,
57,Indiana State,1975,1977,3,30,11,19,0,.367,0,0,0,0,,-15.62,-10.65,0,0,
58,Chattanooga,1909,1976,17,163,65,88,10,.429,0,0,0,0,,-7.29,-5.33,0,0,
59,Dayton,1956,1976,21,216,78,130,8,.380,0,0,0,0,,-13.09,-8.45,0,0,
60,Southern Illinois,1972,1976,5,54,14,37,3,.287,0,0,0,0,,-16.03,-8.67,0,0,
61,Marshall,1970,1976,7,73,18,55,0,.247,0,0,0,0,,-17.97,-7.77,0,0,
62,Houston,1949,1975,18,186,109,72,8,.598,5,3,1,1,.700,7.58,2.49,6,0,
63,Eastern Michigan,1975,1975,1,10,4,6,0,.400,0,0,0,0,,-9.21,-10.01,0,0,
64,Tampa,1966,1974,7,72,43,30,0,.589,1,1,0,0,1.000,-3.53,-7.13,0,0,
65,Lamar,1973,1974,2,20,13,7,0,.650,0,0,0,0,,-11.44,-13.44,0,0,
66,Texas-Arlington,1971,1974,4,43,12,31,0,.279,0,0,0,0,,-18.92,-8.71,0,0,
67,Xavier,1935,1973,16,160,70,86,4,.450,0,0,0,0,,-11.60,-8.18,0,0,
68,West Texas A&M,1962,1970,9,90,59,31,1,.654,2,2,0,0,1.000,-2.40,-7.92,0,0,
69,Buffalo,1962,1970,9,87,46,37,4,.552,0,0,0,0,,-8.36,-10.78,0,0,
70,Pacific,1943,1968,20,195,94,96,7,.495,2,1,1,0,.500,-6.18,-6.08,1,0,
71,San Jose State,1950,1968,19,185,78,101,6,.438,0,0,0,0,,-7.03,-4.57,0,0,
72,UTEP,1962,1967,6,59,28,29,3,.492,2,2,0,0,1.000,-0.94,-1.90,0,0,
73,Colorado State,1902,1967,10,86,33,49,4,.407,0,0,0,0,,-6.66,-2.49,0,0,
74,Lehigh,1884,1965,43,412,195,197,20,.498,0,0,0,0,,-3.05,-2.51,0,0,
75,Quantico Marines,1965,1965,1,10,6,4,0,.600,0,0,0,0,,-6.22,-12.12,0,0,
76,Detroit Mercy,1927,1964,28,261,163,90,8,.640,0,0,0,0,,2.04,-4.20,0,0,
77,Boston University,1923,1964,20,170,73,90,7,.450,0,0,0,0,,-6.91,-4.99,1,0,
78,Oregon,1959,1963,5,51,33,17,2,.654,2,1,1,0,.500,8.90,2.40,0,0,
79,Oregon State,1959,1963,5,50,28,22,1,.559,1,1,0,0,1.000,5.13,2.91,0,0,
80,Hardin-Simmons,1939,1962,3,28,17,10,1,.625,0,0,0,0,,-4.47,-9.01,1,0,
81,Montana,1917,1962,4,33,15,18,0,.455,0,0,0,0,,-8.97,-6.41,0,0,
82,Arizona,1961,1961,1,10,8,1,1,.850,0,0,0,0,,4.72,-7.18,1,0,
83,Washington State,1959,1961,3,30,13,16,1,.450,0,0,0,0,,0.35,-0.25,0,0,
84,Marquette,1927,1960,34,305,131,160,15,.453,1,0,1,0,.000,-0.76,0.34,1,0,
85,Oklahoma State,1914,1959,4,40,26,12,2,.675,1,1,0,0,1.000,4.69,-0.99,1,0,
86,Texas Tech,1943,1959,5,50,15,34,1,.310,0,0,0,0,,-4.93,0.29,0,0,
87,Drake,1900,1958,15,125,58,65,3,.472,1,0,1,0,.000,-7.59,-6.38,0,0,
